user_id,tenure_days,num_trades_30d,avg_trade_size,deposit_30d,withdrawal_30d,account_balance,num_support_tickets,is_verified,account_type,country,churn
U100087,182,8,311.02,187.1,215.56,2453.06,0.0,1,standard,AE,0
U100088,392,9,142.6,398.8,108.15,1036.67,,1,standard,AE,0
U100089,115,8,593.89,81.14,8.94,2618.35,2.0,1,standard,AE,0
U100090,22,6,833.02,263.08,1873.4,3225.14,0.0,1,premium,Other,0
U100091,224,9,867.93,46.53,181.56,2899.69,1.0,1,standard,AE,0
U100092,257,7,139.12,833.83,176.19,2316.88,0.0,1,vip,ID,0
U100093,148,8,105.54,248.96,605.43,1135.07,0.0,1,premium,IN,0
U100094,265,11,128.26,387.97,523.72,1163.73,0.0,0,premium,ID,0
U100095,122,7,49.35,215.27,176.29,785.85,,1,standard,ID,0
U100096,133,9,256.35,917.43,197.16,1574.32,1.0,1,standard,ZA,0
U100097,100,8,214.61,73.34,963.3,1990.27,,1,standard,Other,1
U100098,4,6,452.07,110.63,179.51,2298.14,1.0,1,standard,IN,0
U100099,20,6,,380.47,495.11,1416.35,0.0,1,vip,AE,0
U100100,5,14,410.93,398.72,96.8,1159.53,0.0,1,standard,Other,0
U100101,182,12,50.86,840.96,58.21,1392.27,1.0,1,standard,Other,0
U100102,67,5,467.56,453.26,333.72,564.94,1.0,1,premium,IN,0
U100103,127,12,122.62,395.78,488.26,2348.03,1.0,1,standard,Other,0
U100104,428,8,94.0,168.8,33.65,,0.0,0,standard,ZA,0
U100105,51,7,176.28,921.54,319.29,602.16,0.0,1,vip,IN,0
U100106,95,4,532.9,304.61,101.93,1825.5,0.0,1,standard,Other,0
U100107,253,5,241.65,180.86,187.22,,1.0,0,premium,ZA,0
U100108,46,5,294.29,154.77,589.85,2816.56,1.0,1,standard,PH,1
U100109,14,4,582.78,391.13,578.37,4510.88,3.0,1,standard,IN,0
U100110,61,7,217.65,68.25,77.41,1911.96,1.0,0,standard,PH,0
U100111,31,9,,75.4,25.52,2010.8,0.0,1,standard,IN,0
U100112,477,7,142.07,75.19,409.66,1018.96,1.0,1,standard,ZA,0
U100113,297,6,402.68,1325.53,38.65,1153.52,2.0,1,standard,IN,0
U100114,180,7,67.86,1090.73,626.07,3269.81,0.0,0,standard,IN,0
U100115,369,4,180.43,140.1,38.9,1172.96,1.0,1,standard,PH,0
U100116,293,9,270.31,463.06,432.98,1271.98,1.0,0,premium,AE,0
U100117,37,10,192.27,649.39,200.47,1515.93,2.0,1,premium,Other,1
U100118,401,11,32.68,517.72,1061.7,1530.5,2.0,0,standard,ID,0
U100119,139,11,287.49,98.56,638.25,3706.2,0.0,1,standard,ZA,0
U100120,296,8,360.93,163.91,25.39,2768.98,1.0,1,premium,IN,0
U100121,407,10,303.39,456.47,55.53,3451.62,0.0,1,standard,ZA,0
U100122,68,9,,72.08,362.22,4570.96,1.0,1,standard,ZA,0
U100123,20,8,107.93,874.08,528.97,2338.75,2.0,1,premium,Other,0
U100124,46,3,65.33,95.11,35.65,636.17,0.0,1,standard,Other,1
U100125,100,5,881.54,415.13,450.31,806.64,1.0,1,standard,IN,0
U100126,306,7,124.47,728.94,247.96,1687.39,1.0,1,standard,ZA,0
U100127,354,7,187.08,800.06,302.69,206.8,1.0,1,premium,PH,0
U100128,1,8,792.0,809.49,70.43,1180.3,0.0,1,standard,PH,0
U100129,128,5,279.08,171.82,867.55,2362.76,0.0,1,standard,Other,1
U100130,97,7,486.24,194.3,288.84,1610.03,1.0,0,standard,PH,0
U100131,45,7,108.09,491.63,135.53,1047.13,3.0,1,standard,ZA,0
U100132,22,7,68.7,631.33,154.65,2497.24,0.0,0,standard,ZA,0
U100133,74,7,96.42,607.63,141.44,686.38,1.0,1,standard,PH,0
U100134,515,10,416.01,668.43,279.66,2855.92,2.0,1,premium,PH,0
U100135,70,7,211.79,546.99,221.38,1954.0,1.0,1,premium,IN,0
U100136,131,9,882.68,467.32,26.69,2067.66,0.0,1,premium,PH,0
U100137,218,7,408.21,187.86,18.79,1032.41,0.0,1,standard,Other,0
U100138,81,5,109.92,479.02,438.24,2381.95,1.0,1,standard,AE,0
U100139,642,8,182.31,1217.96,322.4,1709.72,0.0,1,standard,AE,0
U100140,590,12,94.77,272.02,820.84,2631.74,1.0,1,standard,AE,1
U100141,52,4,426.66,247.49,33.35,4971.26,1.0,1,premium,AE,0
U100142,123,9,422.6,588.83,194.47,667.08,0.0,1,standard,Other,0
U100143,64,7,511.33,94.99,202.32,4600.2,0.0,1,premium,AE,0
U100144,60,9,208.77,410.91,176.2,2202.59,1.0,1,standard,ZA,1
U100145,6,10,111.86,845.7,366.17,2529.09,0.0,1,standard,Other,0
U100146,169,6,410.31,414.06,577.15,3470.06,0.0,1,standard,Other,0
U100147,125,11,106.18,411.85,36.56,4048.45,1.0,1,standard,IN,0
U100148,9,6,136.07,21.98,311.55,160.99,0.0,1,standard,ID,0
U100149,58,9,295.73,278.27,16.26,1158.84,2.0,1,standard,IN,0
U100150,429,9,376.2,128.07,126.14,3723.32,2.0,1,standard,AE,0
U100151,49,7,482.42,86.35,246.54,779.58,1.0,1,standard,AE,0
U100152,28,7,672.91,327.09,196.72,1646.1,2.0,0,standard,AE,0
U100153,121,8,772.04,630.23,13.64,1199.27,1.0,1,standard,IN,0
U100154,763,12,560.95,304.95,34.11,736.45,0.0,1,premium,AE,0
U100155,49,7,364.51,746.06,60.5,716.51,3.0,1,standard,IN,0
U100156,200,4,65.52,621.31,282.68,2699.17,0.0,1,standard,Other,0
U100157,258,7,399.22,199.7,163.77,1670.36,0.0,1,standard,ZA,0
U100158,48,7,134.53,228.48,99.15,486.77,1.0,1,standard,ZA,0
U100159,234,7,324.98,35.04,320.38,1024.1,,1,premium,PH,1
U100160,82,5,111.59,1537.94,301.25,703.43,3.0,1,premium,AE,0
U100161,180,7,382.99,139.6,77.26,592.4,,1,standard,PH,0
U100162,180,6,320.77,424.84,228.71,2426.5,0.0,1,standard,AE,0
U100163,138,7,548.34,318.58,299.12,,,1,standard,IN,0
U100164,17,7,339.26,1169.46,65.79,1395.09,1.0,1,standard,IN,0
U100165,324,11,398.56,476.6,115.0,202.38,3.0,0,standard,AE,0
U100166,69,10,485.47,359.27,145.88,3325.26,0.0,1,vip,AE,0
U100167,37,8,147.05,970.58,362.94,373.98,2.0,1,standard,Other,0
U100168,7,11,383.25,424.86,426.77,1543.73,1.0,1,standard,ZA,0
U100169,160,7,208.73,155.45,319.89,1756.17,0.0,1,standard,ID,0
U100170,203,11,315.84,563.5,20.71,1044.41,1.0,1,vip,PH,0
U100171,3,4,449.13,81.43,60.95,1797.73,0.0,1,premium,PH,0
U100172,129,6,61.09,131.71,355.13,2838.81,2.0,1,standard,AE,1
U100173,46,8,142.82,239.61,396.11,1637.5,1.0,0,standard,ZA,1
U100174,186,12,133.56,100.94,209.71,818.55,,0,standard,Other,1
U100175,34,6,219.86,266.91,159.76,525.83,0.0,1,premium,ID,1
U100176,211,6,153.58,9.12,504.36,442.76,1.0,1,standard,ZA,0
U100177,88,8,458.83,415.57,5.05,2812.94,1.0,0,premium,Other,0
U100178,496,10,104.1,537.78,115.11,2001.7,0.0,1,standard,ZA,0
U100179,26,9,71.55,208.76,686.94,2298.42,1.0,1,premium,Other,0
U100180,75,13,365.47,49.28,674.58,543.42,1.0,1,standard,IN,0
U100181,21,8,703.05,350.55,31.53,1272.13,1.0,0,standard,PH,0
U100182,465,11,772.72,620.0,95.76,195.28,0.0,0,standard,ZA,0
U100183,377,10,253.3,72.35,307.44,1407.17,1.0,0,standard,IN,0
U100184,53,11,206.74,2325.5,162.55,2226.4,0.0,1,vip,Other,0
U100185,194,13,122.14,427.48,267.46,1149.71,2.0,0,standard,Other,0
U100186,305,6,86.01,644.08,23.39,2960.49,0.0,0,standard,AE,1
U100187,145,12,83.82,1930.64,485.34,352.41,0.0,1,premium,Other,0
U100188,135,7,75.37,508.97,214.14,1558.58,1.0,1,premium,AE,0
U100189,49,9,251.19,149.82,145.95,818.14,1.0,1,standard,AE,0
U100190,17,5,229.86,186.53,403.08,1158.35,0.0,1,standard,AE,0
U100191,409,8,589.7,812.46,243.69,1235.66,1.0,1,premium,Other,0
U100192,415,10,185.58,706.5,319.39,1390.59,2.0,1,standard,PH,0
U100193,180,9,691.11,824.01,201.97,1463.85,2.0,1,standard,AE,0
U100194,74,2,569.44,591.66,112.62,794.96,2.0,0,standard,ZA,0
U100195,77,8,127.17,522.98,357.11,219.59,1.0,1,standard,AE,0
U100196,233,7,292.17,661.76,560.76,1533.18,0.0,1,standard,PH,0
U100197,409,4,235.91,497.79,652.28,1155.25,0.0,1,premium,IN,0
U100198,392,8,486.35,115.3,134.19,517.89,0.0,0,premium,AE,0
U100199,272,13,58.55,187.38,39.98,1122.82,2.0,1,premium,PH,0
U100200,184,5,62.29,738.25,352.26,1728.01,1.0,1,premium,ID,0
U100201,15,4,201.15,850.59,81.05,438.75,0.0,1,premium,PH,0
U100202,31,9,379.43,1250.15,139.52,3186.68,2.0,1,standard,ZA,0
U100203,411,4,25.56,64.92,419.48,893.83,2.0,1,premium,IN,1
U100204,167,6,799.01,893.41,154.37,775.25,0.0,0,standard,ZA,0
U100205,1,8,191.36,685.21,28.92,2750.14,0.0,0,standard,AE,0
U100206,19,11,68.3,471.98,164.94,3229.48,1.0,1,premium,IN,1
U100207,196,8,97.32,227.28,399.04,1823.86,1.0,1,standard,PH,0
U100208,1,4,358.67,540.89,406.37,1104.08,0.0,1,premium,PH,0
U100209,31,6,150.01,769.11,836.18,1618.49,2.0,1,premium,Other,0
U100210,143,9,373.93,379.42,163.46,2349.55,1.0,1,standard,ZA,0
U100211,211,9,250.27,176.72,173.01,3615.25,2.0,0,standard,Other,0
U100212,189,6,902.85,1108.32,308.25,792.58,,1,standard,ID,0
U100213,45,10,128.38,282.48,44.5,797.34,3.0,1,premium,ID,0
U100214,224,6,458.16,486.45,591.42,1588.38,0.0,1,standard,AE,0
U100215,48,4,318.9,26.67,398.88,1181.54,0.0,1,standard,PH,0
U100216,70,4,66.3,160.37,200.32,297.15,1.0,1,standard,ZA,0
U100217,247,8,139.82,908.42,242.58,825.1,1.0,1,premium,ID,0
U100218,188,9,237.85,854.22,443.38,630.47,,1,standard,AE,0
U100219,340,10,406.39,536.3,1115.19,,0.0,1,standard,AE,0
U100220,192,13,755.14,34.68,214.05,1576.87,0.0,0,standard,AE,0
U100221,151,11,245.34,185.8,94.85,760.06,0.0,1,standard,IN,0
U100222,17,8,43.2,1505.56,151.99,1623.64,1.0,1,standard,AE,0
U100223,82,11,43.07,387.87,498.45,1850.04,2.0,0,premium,Other,1
U100224,55,1,149.74,744.79,272.07,1617.42,0.0,1,premium,Other,0
U100225,50,14,478.22,179.24,711.11,1234.66,1.0,1,standard,Other,0
U100226,650,10,266.41,373.24,20.51,1285.56,3.0,0,standard,ZA,0
U100227,89,9,176.47,181.74,181.76,2128.26,0.0,1,standard,ID,0
U100228,400,10,495.18,257.43,481.06,1662.66,2.0,0,premium,Other,0
U100229,179,6,,150.19,21.6,1544.96,1.0,1,premium,IN,0
U100230,285,12,218.98,305.54,465.83,1347.76,1.0,1,standard,AE,0
U100231,125,6,273.27,320.07,124.77,1103.6,0.0,1,premium,ID,0
U100232,154,11,140.87,673.81,358.3,1877.79,0.0,1,standard,ID,0
U100233,122,7,717.08,47.27,42.33,1500.38,0.0,1,standard,ID,0
U100234,39,7,719.03,91.17,133.81,1513.46,1.0,1,standard,AE,0
U100235,230,7,227.46,377.94,271.5,4294.13,2.0,1,vip,PH,0
U100236,59,3,165.63,105.86,44.57,555.92,0.0,1,standard,ZA,0
U100237,4,5,338.57,121.2,36.06,878.72,2.0,0,standard,AE,0
U100238,186,7,354.19,1225.99,211.46,6758.59,0.0,1,standard,ID,0
U100239,35,14,,638.63,16.13,1110.8,1.0,0,standard,PH,0
U100240,507,9,160.92,306.78,74.88,1396.42,1.0,1,standard,AE,0
U100241,553,4,474.65,170.32,439.45,1202.4,0.0,1,standard,IN,0
U100242,443,12,152.85,1298.75,310.5,1823.09,1.0,1,standard,ID,0
U100243,83,9,216.82,71.01,418.57,958.62,0.0,0,vip,PH,1
U100244,2,5,120.85,816.17,295.44,186.35,,0,vip,PH,1
U100245,474,5,800.18,1359.88,28.92,2858.34,0.0,0,standard,AE,0
U100246,100,7,112.24,380.43,75.02,126.3,0.0,0,premium,ID,0
U100247,612,13,132.67,511.76,728.19,5010.73,0.0,1,premium,IN,0
U100248,596,10,550.93,537.8,458.8,2077.41,0.0,1,standard,IN,0
U100249,345,10,666.59,666.19,640.24,698.8,0.0,1,standard,ID,0
U100250,62,5,324.91,458.51,585.99,729.83,1.0,1,standard,ID,1
U100251,87,7,74.11,502.91,449.64,204.16,1.0,1,standard,AE,0
U100252,342,5,269.24,164.71,39.21,625.28,0.0,0,premium,AE,0
U100253,68,11,67.72,775.0,175.6,701.63,0.0,1,standard,AE,0
U100254,33,7,439.54,96.09,107.71,2369.38,1.0,1,standard,PH,0
U100255,146,9,,1157.23,84.52,1632.72,2.0,0,standard,AE,0
U100256,495,7,117.84,324.82,554.22,192.77,1.0,1,standard,AE,0
U100257,214,8,313.81,1616.98,282.9,210.48,0.0,1,standard,Other,0
U100258,151,6,711.01,498.6,116.96,535.96,0.0,1,standard,AE,0
U100259,18,2,560.18,241.39,596.74,578.41,1.0,1,premium,AE,0
U100260,171,6,115.63,627.72,391.98,,1.0,1,premium,IN,0
U100261,829,6,221.95,1475.25,8.52,655.93,1.0,0,standard,AE,0
U100262,27,12,32.39,403.64,227.34,3916.04,0.0,1,standard,ID,0
U100263,131,5,618.6,386.1,50.72,1754.16,1.0,1,premium,IN,1
U100264,377,5,179.36,356.73,75.35,2133.44,0.0,1,standard,AE,0
U100265,243,6,69.74,236.85,423.81,1299.72,1.0,1,standard,Other,0
U100266,214,6,360.23,462.12,89.76,603.14,1.0,1,standard,IN,0
U100267,218,9,475.28,523.6,38.93,803.17,0.0,1,standard,ZA,0
U100268,80,12,157.99,1596.08,322.63,3876.59,0.0,1,standard,Other,0
U100269,62,10,135.21,241.69,403.51,2085.44,1.0,1,premium,Other,0
U100270,298,5,,1273.71,6.5,,0.0,1,standard,IN,0
U100271,299,10,263.28,551.09,762.06,,1.0,0,standard,Other,0
U100272,363,12,281.81,632.64,107.58,2078.18,1.0,1,standard,ZA,0
U100273,440,4,256.78,207.55,96.34,545.62,2.0,1,vip,ID,0
U100274,128,8,574.69,329.75,337.93,,0.0,1,standard,ZA,0
U100275,125,8,154.7,274.01,48.9,1505.43,0.0,1,premium,IN,0
U100276,288,7,129.27,684.42,123.19,4590.87,0.0,0,standard,IN,0
U100277,188,6,125.62,135.67,364.33,2501.53,0.0,1,standard,ID,0
U100278,217,6,561.77,127.31,122.79,874.85,1.0,1,premium,IN,0
U100279,285,8,736.15,21.27,105.65,1911.85,0.0,1,premium,PH,0
U100280,397,9,282.49,635.27,175.21,601.81,0.0,1,premium,IN,0
U100281,74,11,491.14,93.49,305.67,1136.15,0.0,1,standard,PH,1
U100282,84,11,336.69,369.53,467.46,2158.32,0.0,1,premium,AE,0
U100283,17,6,808.12,75.26,8.22,2711.58,1.0,1,standard,AE,0
U100284,155,8,283.04,379.05,447.75,759.44,0.0,1,standard,PH,0
U100285,6,10,155.57,358.45,396.42,955.61,1.0,1,standard,IN,0
U100286,112,6,135.91,218.38,84.17,2744.72,1.0,1,standard,PH,0
U100287,140,7,435.32,526.63,277.32,1135.15,0.0,1,standard,PH,0
U100288,60,6,340.21,205.12,247.12,741.28,3.0,1,standard,IN,0
U100289,160,8,669.79,760.14,328.57,2432.43,0.0,1,vip,AE,0
U100290,5,8,392.19,908.79,224.34,1671.47,0.0,1,standard,AE,0
U100291,6,13,368.89,951.89,26.17,1703.19,1.0,1,standard,PH,0
U100292,311,5,57.49,375.15,308.81,276.53,1.0,1,premium,PH,0
U100293,80,9,304.89,610.17,52.39,586.87,1.0,0,standard,IN,1
U100294,24,8,647.84,373.94,558.52,1419.2,1.0,1,standard,AE,0
U100295,132,11,248.09,552.35,1142.7,1160.56,3.0,1,standard,AE,0
U100296,264,7,92.76,391.73,171.22,2329.23,2.0,1,standard,AE,0
U100297,43,8,114.58,428.42,30.86,1467.38,0.0,1,standard,Other,0
U100298,175,4,269.48,1200.58,83.76,512.58,1.0,1,premium,AE,0
U100299,16,7,613.17,35.44,577.95,,0.0,1,standard,AE,0
U100300,9,8,170.77,444.9,438.36,518.01,0.0,1,premium,PH,0
U100301,136,12,23.56,442.23,371.92,2717.3,0.0,0,premium,ZA,1
U100302,140,8,276.2,198.25,656.41,1075.49,0.0,1,standard,ID,0
U100303,182,7,291.02,595.86,77.32,1131.26,1.0,1,premium,IN,0
U100304,233,9,220.95,356.81,182.88,666.03,3.0,1,standard,ZA,0
U100305,670,9,389.75,224.08,102.07,418.39,0.0,1,standard,ZA,0
U100306,130,10,73.95,424.31,257.38,977.9,1.0,1,premium,IN,0
U100307,70,4,243.75,1253.34,384.74,597.51,1.0,1,standard,AE,0
U100308,285,5,175.49,304.65,90.17,76.61,0.0,1,standard,PH,0
U100309,56,10,29.7,274.35,561.2,1016.9,0.0,1,standard,AE,0
U100310,104,13,398.8,353.88,105.0,1110.08,0.0,1,premium,ID,0
U100311,14,13,324.99,56.98,201.07,867.56,2.0,0,standard,ZA,0
U100312,4,7,138.99,319.67,479.22,474.24,0.0,1,standard,ZA,0
U100313,591,8,376.57,33.56,347.27,1096.47,2.0,1,premium,ZA,0
U100314,325,6,142.81,159.62,150.55,1189.55,0.0,1,standard,ZA,0
U100315,214,10,161.79,555.34,321.99,581.57,0.0,0,standard,Other,1
U100316,94,8,251.65,134.49,199.87,1285.37,0.0,1,standard,IN,0
U100317,34,5,609.91,472.58,248.78,498.69,1.0,1,standard,ZA,1
U100318,30,10,178.01,277.0,225.76,3796.48,1.0,1,standard,ZA,0
U100319,51,13,745.61,201.2,15.06,448.6,0.0,1,standard,ID,0
U100320,143,3,424.46,791.66,162.75,96.62,1.0,1,standard,Other,0
U100321,225,10,240.45,403.73,296.11,838.52,1.0,1,standard,ZA,0
U100322,194,1,686.66,532.61,995.4,1310.94,2.0,1,standard,IN,1
U100323,59,5,423.01,274.45,171.99,3366.86,0.0,1,standard,PH,0
U100324,557,10,356.39,706.28,657.89,1075.08,1.0,1,premium,ID,0
U100325,241,13,130.19,104.06,93.44,619.09,2.0,1,premium,ID,0
U100326,145,11,136.9,939.76,595.2,1774.82,1.0,1,standard,ID,0
U100327,170,6,140.88,11.68,1001.12,1039.99,1.0,1,standard,IN,1
U100328,97,9,231.47,16.2,62.33,958.88,0.0,1,standard,ZA,0
U100329,51,11,927.41,220.14,194.08,1684.34,2.0,1,premium,AE,0
U100330,79,8,,271.7,4.94,1595.09,2.0,1,standard,Other,0
U100331,255,6,402.16,262.54,82.35,1072.2,1.0,1,premium,PH,0
U100332,2,4,324.64,135.38,212.5,1142.99,0.0,1,standard,IN,0
U100333,22,10,273.64,1310.1,18.26,2521.52,3.0,1,standard,AE,0
U100334,8,13,513.24,339.32,14.72,896.91,2.0,1,premium,IN,0
U100335,7,6,157.01,954.24,35.98,2661.04,0.0,0,standard,PH,0
U100336,348,6,694.82,39.09,73.83,543.98,0.0,1,standard,AE,0
U100337,218,8,146.19,143.25,551.51,968.51,0.0,1,standard,ID,0
U100338,115,8,373.55,104.71,122.42,1692.59,0.0,1,standard,IN,0
U100339,18,10,47.83,28.33,335.8,1969.61,1.0,1,standard,Other,0
U100340,121,7,189.39,434.91,148.93,1136.88,2.0,1,vip,IN,0
U100341,115,8,882.66,212.65,119.43,1510.98,0.0,1,standard,ZA,0
U100342,34,8,11.28,73.39,315.42,1362.85,,1,standard,IN,1
U100343,102,13,78.13,158.58,188.04,930.23,0.0,1,premium,IN,0
U100344,91,8,277.69,618.65,305.71,3006.62,0.0,1,standard,IN,0
U100345,172,6,409.17,1091.75,332.45,689.89,1.0,1,standard,ZA,0
U100346,181,9,94.21,220.25,62.31,3565.75,1.0,1,standard,Other,0
U100347,8,6,293.93,179.65,574.22,303.35,1.0,1,standard,AE,1
U100348,84,7,97.1,235.17,649.23,1330.35,0.0,1,premium,ZA,0
U100349,176,6,370.28,169.04,7.58,1147.3,0.0,1,standard,IN,0
U100350,125,12,684.29,181.81,411.6,517.8,0.0,0,standard,ID,0
U100351,349,4,335.75,644.13,323.54,3428.53,2.0,1,premium,ID,0
U100352,193,7,205.27,728.17,12.15,3583.97,0.0,1,standard,ID,0
U100353,32,6,260.12,132.59,202.45,333.88,1.0,1,standard,ID,0
U100354,13,10,363.19,613.32,251.17,329.51,0.0,1,standard,Other,0
U100355,185,3,536.68,287.86,48.16,1550.9,0.0,1,premium,AE,0
U100356,4,7,277.34,112.3,74.14,4194.75,1.0,1,standard,PH,0
U100357,158,6,,1771.39,111.72,1179.56,0.0,1,standard,ID,0
U100358,507,7,86.33,510.89,153.99,2584.25,1.0,1,premium,IN,0
